God's plan, Drake
Hate me, Juice WRLD
Murder on my mind, YNW Melly
Lucid dreams, Juice WRLD
Sicko mode, Travis Scott
Loading, CentralCee
In my feelings, Drake
Lamborghini, KSI
Rap god, Eminem
What you know bout love, Pop Smoke
That's what i want, Lil Nas x
Perfcet, Ed sheeran
Moonlight, XXXTentacion
Man's not hot, Big Shaq
Count on me, Bruno Mars
Only if you knew, Dutchavelli
Knock knock, Tion Wayne
